line_item_id,order_id,product_id,line_number,quantity,unit_price,discount_pct,discount_amount,line_total,created_at
1,2,67,2,2,242.85,0.10,48.57,437.13,2024-10-27 00:00:00
2,2,28,5,20,336.29,0.18,1210.64,5515.16,2023-09-18 00:00:00
3,3,119,1,6,1487.05,0.15,1338.34,7583.96,2023-06-28 00:00:00
4,4,41,1,19,185.63,0.12,423.24,3103.73,2024-12-13 00:00:00
5,4,167,2,2,454.71,0.23,209.17,700.25,2025-05-29 00:00:00
6,5,16,2,5,1247.36,0.22,1372.10,4864.70,2025-07-15 00:00:00
7,5,102,3,11,1237.85,0.14,1906.29,11710.06,2023-12-07 00:00:00
8,6,142,1,10,540.29,0.06,324.17,5078.73,2025-09-28 00:00:00
9,7,68,3,20,1125.89,0.18,4053.20,18464.60,2023-02-17 00:00:00
10,9,116,1,1,763.44,0.16,122.15,641.29,2024-09-09 00:00:00
11,9,1,2,14,1124.79,0.30,4724.12,11022.94,2025-04-25 00:00:00
12,10,6,1,6,76.45,0.00,0.00,458.70,2023-07-31 00:00:00
13,10,145,3,6,896.58,0.05,268.97,5110.51,2023-06-09 00:00:00
14,11,96,1,10,1324.35,0.07,927.05,12316.45,2023-03-08 00:00:00
15,11,72,2,9,817.90,0.27,1987.50,5373.60,2024-04-06 00:00:00
16,12,45,3,6,529.26,0.06,190.53,2985.03,2024-02-27 00:00:00
17,12,45,4,1,1436.53,0.07,100.56,1335.97,2023-05-18 00:00:00
18,14,11,1,5,1216.29,0.27,1641.99,4439.46,2024-11-09 00:00:00
19,14,89,5,2,179.15,0.27,96.74,261.56,2024-04-08 00:00:00
20,16,87,1,10,499.56,0.22,1099.03,3896.57,2023-03-10 00:00:00
21,18,58,2,13,875.53,0.24,2731.65,8650.24,2024-08-06 00:00:00
22,20,178,1,7,939.43,0.23,1512.48,5063.53,2024-05-17 00:00:00
23,20,50,2,6,448.87,0.07,188.53,2504.69,2023-12-01 00:00:00
24,20,152,4,14,207.07,0.24,695.76,2203.22,2023-02-24 00:00:00
25,21,89,1,19,1122.47,0.16,3412.31,17914.62,2024-04-17 00:00:00
26,21,32,2,5,1249.16,0.24,1498.99,4746.81,2024-07-07 00:00:00
27,23,24,1,6,1320.76,0.02,158.49,7766.07,2024-11-13 00:00:00
28,23,193,3,20,595.30,0.27,3214.62,8691.38,2023-10-02 00:00:00
29,26,15,1,4,222.54,0.29,258.15,632.01,2025-04-02 00:00:00
30,26,51,4,3,726.87,0.09,196.25,1984.36,2025-01-31 00:00:00
31,29,72,5,6,107.69,0.00,0.00,646.14,2024-01-09 00:00:00
32,32,153,3,9,964.97,0.17,1476.40,7208.33,2025-07-06 00:00:00
33,33,88,1,20,1479.12,0.03,887.47,28694.93,2023-09-29 00:00:00
34,35,47,1,13,675.04,0.21,1842.86,6932.66,2023-07-24 00:00:00
35,36,124,2,12,355.86,0.12,512.44,3757.88,2025-05-17 00:00:00
36,37,71,4,16,484.57,0.20,1550.62,6202.50,2025-11-07 00:00:00
37,38,162,5,13,385.29,0.03,150.26,4858.51,2023-10-18 00:00:00
38,41,180,1,1,1336.63,0.13,173.76,1162.87,2025-07-07 00:00:00
39,41,197,2,8,49.41,0.17,67.20,328.08,2023-11-21 00:00:00
40,43,169,1,18,1354.55,0.09,2194.37,22187.53,2023-10-09 00:00:00
41,43,70,3,2,294.67,0.21,123.76,465.58,2023-05-09 00:00:00
42,45,91,1,8,1291.49,0.11,1136.51,9195.41,2024-10-12 00:00:00
43,45,25,2,9,322.73,0.23,668.05,2236.52,2023-07-25 00:00:00
44,46,149,3,4,456.27,0.20,365.02,1460.06,2023-04-12 00:00:00
45,47,133,3,15,732.82,0.18,1978.61,9013.69,2023-10-14 00:00:00
46,48,67,1,15,912.14,0.04,547.28,13134.82,2024-05-29 00:00:00
47,50,34,3,5,1456.41,0.15,1092.31,6189.74,2024-04-28 00:00:00
48,51,182,1,9,946.14,0.20,1703.05,6812.21,2023-08-13 00:00:00
49,51,152,3,6,1106.57,0.29,1925.43,4713.99,2024-09-11 00:00:00
50,51,198,4,18,729.82,0.01,131.37,13005.39,2025-10-06 00:00:00
51,51,163,5,13,1245.98,0.06,971.86,15225.88,2024-03-03 00:00:00
52,52,61,3,6,887.48,0.30,1597.46,3727.42,2025-05-30 00:00:00
53,53,91,3,4,543.37,0.19,412.96,1760.52,2023-04-28 00:00:00
54,54,43,1,11,706.23,0.16,1242.96,6525.57,2024-08-16 00:00:00
55,54,111,3,9,95.42,0.16,137.40,721.38,2025-10-28 00:00:00
56,55,92,4,17,800.30,0.25,3401.28,10203.82,2023-12-18 00:00:00
57,55,199,5,11,1052.21,0.21,2430.61,9143.70,2025-09-05 00:00:00
58,56,35,1,13,1184.92,0.01,154.04,15249.92,2025-11-06 00:00:00
59,57,69,4,13,728.56,0.20,1894.26,7577.02,2023-12-11 00:00:00
60,58,93,3,10,1386.73,0.26,3605.50,10261.80,2024-10-15 00:00:00
61,58,189,5,12,129.43,0.18,279.57,1273.59,2023-12-12 00:00:00
62,59,143,3,6,267.19,0.26,416.82,1186.32,2023-01-18 00:00:00
63,59,194,5,4,804.59,0.11,354.02,2864.34,2025-04-10 00:00:00
64,60,44,2,10,676.36,0.17,1149.81,5613.79,2024-01-22 00:00:00
65,63,151,4,9,1322.41,0.19,2261.32,9640.37,2023-07-05 00:00:00
66,63,44,5,6,376.07,0.08,180.51,2075.91,2024-08-11 00:00:00
67,64,146,3,19,270.75,0.00,0.00,5144.25,2023-01-28 00:00:00
68,64,156,5,14,597.68,0.25,2091.88,6275.64,2025-06-27 00:00:00
69,67,11,3,5,620.76,0.00,0.00,3103.80,2024-12-02 00:00:00
70,68,14,2,19,548.35,0.06,625.12,9793.53,2023-05-17 00:00:00
71,68,123,3,10,974.05,0.01,97.41,9643.09,2024-04-19 00:00:00
72,68,158,5,3,84.35,0.23,58.20,194.85,2024-03-25 00:00:00
73,69,63,1,12,1146.89,0.16,2202.03,11560.65,2023-12-30 00:00:00
74,69,35,2,6,453.84,0.14,381.23,2341.81,2023-06-27 00:00:00
75,71,152,1,8,579.66,0.00,0.00,4637.28,2023-04-06 00:00:00
76,71,108,3,1,1398.33,0.04,55.93,1342.40,2025-09-22 00:00:00
77,71,169,5,2,487.35,0.08,77.98,896.72,2023-08-16 00:00:00
78,73,176,4,14,1248.12,0.02,349.47,17124.21,2025-06-11 00:00:00
79,75,34,5,13,429.26,0.21,1171.88,4408.50,2024-12-25 00:00:00
80,76,3,4,1,862.94,0.07,60.41,802.53,2023-12-22 00:00:00
81,77,52,1,9,641.25,0.13,750.26,5020.99,2025-05-21 00:00:00
82,78,169,2,5,1287.51,0.20,1287.51,5150.04,2024-02-26 00:00:00
83,78,51,4,14,180.85,0.19,481.06,2050.84,2024-06-14 00:00:00
84,80,73,1,3,1447.85,0.09,390.92,3952.63,2024-02-14 00:00:00
85,82,184,3,4,589.74,0.08,188.72,2170.24,2024-08-12 00:00:00
86,83,30,1,7,695.05,0.14,681.15,4184.20,2025-03-06 00:00:00
87,83,134,2,12,720.15,0.13,1123.43,7518.37,2023-03-06 00:00:00
88,84,109,4,7,1187.16,0.18,1495.82,6814.30,2024-01-04 00:00:00
89,85,160,4,2,1230.00,0.26,639.60,1820.40,2023-05-23 00:00:00
90,85,122,5,11,1288.94,0.03,425.35,13752.99,2025-06-22 00:00:00
91,87,6,1,3,1255.48,0.15,564.97,3201.47,2024-01-22 00:00:00
92,88,45,3,10,1049.03,0.01,104.90,10385.40,2023-12-12 00:00:00
93,88,74,5,18,336.60,0.09,545.29,5513.51,2024-07-01 00:00:00
94,91,20,1,16,260.65,0.08,333.63,3836.77,2025-05-27 00:00:00
95,92,200,3,11,1196.23,0.15,1973.78,11184.75,2025-03-07 00:00:00
96,93,147,3,9,678.47,0.23,1404.43,4701.80,2023-01-23 00:00:00
97,93,43,5,12,1312.48,0.23,3622.44,12127.32,2025-01-27 00:00:00
98,94,191,4,8,573.97,0.23,1056.10,3535.66,2025-05-06 00:00:00
99,95,144,5,19,71.78,0.21,286.40,1077.42,2023-12-21 00:00:00
100,96,51,3,17,656.47,0.21,2343.60,8816.39,2023-05-10 00:00:00
101,96,168,4,1,1469.09,0.00,0.00,1469.09,2024-11-25 00:00:00
102,96,59,5,17,1312.85,0.19,4240.51,18077.94,2024-10-02 00:00:00
103,99,124,3,9,269.83,0.12,291.42,2137.05,2024-07-24 00:00:00
104,100,61,1,11,1172.54,0.18,2321.63,10576.31,2023-03-08 00:00:00
105,101,149,2,8,720.66,0.02,115.31,5649.97,2025-05-25 00:00:00
106,101,13,5,10,738.21,0.19,1402.60,5979.50,2025-04-20 00:00:00
107,103,189,1,4,447.46,0.14,250.58,1539.26,2025-12-06 00:00:00
108,103,68,4,9,326.30,0.02,58.73,2877.97,2025-02-07 00:00:00
109,104,22,1,18,1131.14,0.25,5090.13,15270.39,2024-12-20 00:00:00
110,104,107,4,9,1345.19,0.25,3026.68,9080.03,2023-09-27 00:00:00
111,105,174,2,13,1134.98,0.12,1770.57,12984.17,2023-05-18 00:00:00
112,105,95,5,10,1324.58,0.03,397.37,12848.43,2025-02-02 00:00:00
113,106,133,4,20,861.17,0.28,4822.55,12400.85,2023-11-02 00:00:00
114,107,116,3,16,1387.51,0.05,1110.01,21090.15,2023-08-14 00:00:00
115,107,3,5,17,469.02,0.01,79.73,7893.61,2025-07-19 00:00:00
116,108,167,2,18,583.74,0.09,945.66,9561.66,2024-04-28 00:00:00
117,108,94,3,14,1131.82,0.13,2059.91,13785.57,2024-11-22 00:00:00
118,109,10,4,8,1061.77,0.13,1104.24,7389.92,2025-05-20 00:00:00
119,109,152,5,17,376.01,0.01,63.92,6328.25,2025-09-16 00:00:00
120,110,166,4,15,1002.15,0.01,150.32,14881.93,2025-04-08 00:00:00
121,111,121,3,4,826.51,0.04,132.24,3173.80,2024-01-11 00:00:00
122,112,108,3,14,1332.90,0.14,2612.48,16048.12,2024-07-29 00:00:00
123,112,199,5,3,925.32,0.23,638.47,2137.49,2025-07-14 00:00:00
124,113,131,1,17,652.05,0.07,775.94,10308.91,2024-11-05 00:00:00
125,114,174,2,20,1214.42,0.01,242.88,24045.52,2025-08-22 00:00:00
126,114,193,3,7,863.24,0.06,362.56,5680.12,2023-12-13 00:00:00
127,117,179,2,17,1043.46,0.26,4612.09,13126.73,2025-10-28 00:00:00
128,117,194,5,16,1481.24,0.01,237.00,23462.84,2024-10-06 00:00:00
129,118,164,3,11,1273.76,0.25,3502.84,10508.52,2024-09-11 00:00:00
130,119,147,2,5,217.11,0.04,43.42,1042.13,2025-07-21 00:00:00
131,119,16,5,9,975.39,0.17,1492.35,7286.16,2023-06-09 00:00:00
132,121,140,1,13,1027.36,0.13,1736.24,11619.44,2025-04-13 00:00:00
133,122,101,2,7,288.36,0.02,40.37,1978.15,2023-05-23 00:00:00
134,122,103,3,6,871.04,0.29,1515.61,3710.63,2023-01-31 00:00:00
135,122,122,5,7,1415.82,0.17,1684.83,8225.91,2023-12-30 00:00:00
136,125,197,2,17,1260.57,0.02,428.59,21001.10,2023-11-24 00:00:00
137,126,126,2,4,847.16,0.13,440.52,2948.12,2024-10-23 00:00:00
138,128,197,5,7,1161.20,0.07,568.99,7559.41,2023-07-05 00:00:00
139,129,118,2,1,805.50,0.25,201.38,604.12,2024-09-22 00:00:00
140,130,157,1,9,265.71,0.18,430.45,1960.94,2023-11-20 00:00:00
141,130,8,2,7,1079.77,0.18,1360.51,6197.88,2024-04-25 00:00:00
142,130,23,3,8,1436.89,0.09,1034.56,10460.56,2023-02-09 00:00:00
143,131,29,2,10,544.60,0.17,925.82,4520.18,2025-05-07 00:00:00
144,131,116,3,1,1490.89,0.18,268.36,1222.53,2023-05-11 00:00:00
145,131,158,5,11,1231.09,0.13,1760.46,11781.53,2023-01-05 00:00:00
146,132,95,4,9,1494.39,0.16,2151.92,11297.59,2024-07-10 00:00:00
147,133,60,3,18,1369.57,0.22,5423.50,19228.76,2024-07-23 00:00:00
148,134,169,5,8,1219.47,0.21,2048.71,7707.05,2023-06-04 00:00:00
149,135,120,2,18,176.35,0.14,444.40,2729.90,2023-01-12 00:00:00
150,138,99,1,13,1431.23,0.08,1488.48,17117.51,2024-03-30 00:00:00
151,139,174,1,4,522.17,0.19,396.85,1691.83,2023-04-17 00:00:00
152,139,27,2,13,979.23,0.08,1018.40,11711.59,2023-10-18 00:00:00
153,139,168,3,17,148.80,0.00,0.00,2529.60,2025-07-08 00:00:00
154,139,199,5,2,180.51,0.02,7.22,353.80,2023-11-16 00:00:00
155,140,106,2,10,73.37,0.26,190.76,542.94,2024-02-21 00:00:00
156,140,8,3,17,947.36,0.01,161.05,15944.07,2023-05-15 00:00:00
157,143,117,1,6,609.15,0.16,584.78,3070.12,2025-04-29 00:00:00
158,144,141,5,6,980.41,0.23,1352.97,4529.49,2024-09-04 00:00:00
159,145,135,3,11,1130.88,0.01,124.40,12315.28,2023-02-09 00:00:00
160,146,118,1,5,779.35,0.20,779.35,3117.40,2024-11-25 00:00:00
161,146,145,4,6,965.96,0.14,811.41,4984.35,2024-07-18 00:00:00
162,146,23,5,3,634.23,0.00,0.00,1902.69,2023-08-19 00:00:00
163,147,185,1,20,1327.99,0.12,3187.18,23372.62,2023-08-14 00:00:00
164,148,44,4,16,615.16,0.04,393.70,9448.86,2023-03-09 00:00:00
165,150,136,3,5,1262.60,0.07,441.91,5871.09,2023-09-03 00:00:00
166,151,117,5,2,957.05,0.24,459.38,1454.72,2025-05-12 00:00:00
167,152,50,2,9,428.11,0.07,269.71,3583.28,2025-02-20 00:00:00
168,152,162,3,6,966.47,0.10,579.88,5218.94,2025-12-04 00:00:00
169,153,175,3,16,1350.99,0.02,432.32,21183.52,2023-01-23 00:00:00
170,154,189,1,10,1217.65,0.28,3409.42,8767.08,2023-10-20 00:00:00
171,154,77,2,6,989.87,0.11,653.31,5285.91,2025-04-15 00:00:00
172,155,153,1,1,882.49,0.28,247.10,635.39,2023-11-16 00:00:00
173,155,58,2,15,552.71,0.00,0.00,8290.65,2024-06-29 00:00:00
174,156,146,1,15,613.55,0.24,2208.78,6994.47,2023-05-01 00:00:00
175,156,64,5,20,571.32,0.23,2628.07,8798.33,2023-01-02 00:00:00
176,158,34,3,10,371.00,0.10,371.00,3339.00,2024-09-23 00:00:00
177,158,11,4,12,538.74,0.21,1357.62,5107.26,2025-05-20 00:00:00
178,159,66,2,17,1133.31,0.21,4045.92,15220.35,2025-06-19 00:00:00
179,159,95,4,9,1022.71,0.29,2669.27,6535.12,2025-03-30 00:00:00
180,160,180,3,9,1262.20,0.27,3067.15,8292.65,2023-10-28 00:00:00
181,160,31,5,12,1312.67,0.17,2677.85,13074.19,2025-10-17 00:00:00
182,161,64,3,17,560.46,0.28,2667.79,6860.03,2025-03-30 00:00:00
183,162,106,5,5,1498.60,0.29,2172.97,5320.03,2024-04-17 00:00:00
184,163,110,1,2,577.93,0.24,277.41,878.45,2025-12-19 00:00:00
185,164,105,3,10,882.11,0.04,352.84,8468.26,2024-09-27 00:00:00
186,165,146,2,16,1452.01,0.26,6040.36,17191.80,2023-12-23 00:00:00
187,167,35,2,2,1427.46,0.06,171.30,2683.62,2025-12-10 00:00:00
188,167,100,5,6,257.02,0.12,185.05,1357.07,2023-09-21 00:00:00
189,169,3,2,13,631.26,0.02,164.13,8042.25,2025-07-18 00:00:00
190,170,146,4,19,618.19,0.06,704.74,11040.87,2024-12-07 00:00:00
191,171,97,2,20,1478.05,0.27,7981.47,21579.53,2023-11-13 00:00:00
192,171,151,4,20,1188.78,0.22,5230.63,18544.97,2024-05-22 00:00:00
193,172,56,2,11,1129.73,0.22,2733.95,9693.08,2025-03-29 00:00:00
194,173,143,1,17,701.35,0.15,1788.44,10134.51,2024-01-19 00:00:00
195,174,96,2,14,28.41,0.04,15.91,381.83,2024-06-05 00:00:00
196,174,135,4,6,82.80,0.28,139.10,357.70,2024-05-30 00:00:00
197,174,156,5,8,152.51,0.06,73.20,1146.88,2025-12-17 00:00:00
198,175,191,2,7,1464.31,0.18,1845.03,8405.14,2023-11-13 00:00:00
199,175,33,5,13,24.67,0.00,0.00,320.71,2023-05-17 00:00:00
200,177,75,1,10,84.01,0.29,243.63,596.47,2025-08-13 00:00:00
201,179,103,3,5,1261.71,0.22,1387.88,4920.67,2023-05-18 00:00:00
202,179,79,4,8,1280.83,0.26,2664.13,7582.51,2023-05-25 00:00:00
203,184,56,5,10,186.13,0.06,111.68,1749.62,2025-10-12 00:00:00
204,187,83,3,5,1352.69,0.25,1690.86,5072.59,2025-08-20 00:00:00
205,188,34,3,2,891.24,0.16,285.20,1497.28,2024-11-01 00:00:00
206,188,172,4,13,452.71,0.22,1294.75,4590.48,2023-10-05 00:00:00
207,189,76,1,1,500.96,0.29,145.28,355.68,2023-11-06 00:00:00
208,189,15,5,17,282.15,0.10,479.66,4316.89,2024-04-20 00:00:00
209,190,8,4,19,1399.41,0.30,7976.64,18612.15,2025-05-26 00:00:00
210,190,156,5,4,937.35,0.08,299.95,3449.45,2025-03-31 00:00:00
211,192,33,5,19,1410.85,0.25,6701.54,20104.61,2023-03-11 00:00:00
212,193,167,3,12,609.42,0.04,292.52,7020.52,2023-01-09 00:00:00
213,194,22,1,16,991.73,0.07,1110.74,14756.94,2023-01-06 00:00:00
214,194,115,2,20,618.65,0.03,371.19,12001.81,2025-12-13 00:00:00
215,194,111,5,19,506.48,0.14,1347.24,8275.88,2024-08-17 00:00:00
216,196,2,4,10,379.38,0.28,1062.26,2731.54,2025-10-02 00:00:00
217,197,66,2,4,1069.12,0.10,427.65,3848.83,2023-05-29 00:00:00
218,197,169,4,7,728.42,0.19,968.80,4130.14,2025-04-08 00:00:00
219,198,25,3,1,87.23,0.15,13.08,74.15,2024-02-07 00:00:00
