quota_id,sales_rep_id,region_id,date_id,quota_period_type,quota_target,created_at
1,39,1,20250328,Quarterly,15727,44:28.1
2,39,1,20250328,Monthly,8140,44:28.1
3,39,1,20250328,Quarterly,10888,44:28.1
4,39,1,20250328,Monthly,7235,44:28.1
5,39,1,20250328,Quarterly,24187,44:28.1
6,39,1,20250328,Monthly,24571,44:28.1
7,39,1,20250328,Quarterly,21575,44:28.1
8,39,1,20250328,Monthly,8126,44:28.1
9,39,1,20250328,Quarterly,24470,44:28.1
10,39,1,20250328,Monthly,10659,44:28.1
11,39,1,20250328,Quarterly,16188,44:28.1
12,39,1,20250328,Monthly,8726,44:28.1
13,39,1,20250328,Quarterly,13747,44:28.1
14,39,1,20250328,Monthly,22445,44:28.1
15,39,1,20250328,Quarterly,19618,44:28.1
16,39,1,20250328,Monthly,16710,44:28.1
17,39,1,20250328,Quarterly,17062,44:28.1
18,39,1,20250328,Monthly,10441,44:28.1
19,39,1,20250328,Quarterly,9365,44:28.1
20,39,1,20250328,Monthly,10329,44:28.1
21,39,1,20250328,Quarterly,8834,44:28.1
22,39,1,20250328,Monthly,8759,44:28.1
23,39,1,20250328,Quarterly,24479,44:28.1
24,39,1,20250328,Monthly,5693,44:28.1
25,39,1,20250328,Quarterly,16878,44:28.1
26,39,1,20250328,Monthly,11561,44:28.1
27,39,1,20250328,Quarterly,14723,44:28.1
28,39,1,20250328,Monthly,6280,44:28.1
29,39,1,20250328,Quarterly,14891,44:28.1
30,39,1,20250328,Monthly,20519,44:28.1
31,39,1,20250328,Quarterly,19212,44:28.1
32,39,1,20250328,Monthly,8517,44:28.1
33,39,1,20250328,Quarterly,13161,44:28.1
34,39,1,20250328,Monthly,7360,44:28.1
35,39,1,20250328,Quarterly,9517,44:28.1
36,39,1,20250328,Monthly,7839,44:28.1
37,39,1,20250328,Quarterly,8267,44:28.1
38,39,1,20250328,Monthly,14078,44:28.1
39,39,1,20250328,Quarterly,12971,44:28.1
40,39,1,20250328,Monthly,23211,44:28.1
41,39,1,20250328,Quarterly,14367,44:28.1
42,39,1,20250328,Monthly,5837,44:28.1
43,39,1,20250328,Quarterly,19727,44:28.1
44,39,1,20250328,Monthly,21754,44:28.1
45,39,1,20250328,Quarterly,16476,44:28.1
46,39,1,20250328,Monthly,6550,44:28.1
47,39,1,20250328,Quarterly,5230,44:28.1
48,39,1,20250328,Monthly,24892,44:28.1
49,39,1,20250328,Quarterly,13349,44:28.1
50,39,1,20250328,Monthly,7481,44:28.1
51,39,1,20250328,Quarterly,7597,44:28.1
52,39,1,20250328,Monthly,7607,44:28.1
53,39,1,20250328,Quarterly,8847,44:28.1
54,39,1,20250328,Monthly,12946,44:28.1
55,39,1,20250328,Quarterly,11826,44:28.1
56,39,1,20250328,Monthly,8086,44:28.1
57,39,1,20250328,Quarterly,17385,44:28.1
58,39,1,20250328,Monthly,20667,44:28.1
59,39,1,20250328,Quarterly,18489,44:28.1
60,39,1,20250328,Monthly,22377,44:28.1
61,39,1,20250328,Quarterly,18649,44:28.1
62,39,1,20250328,Monthly,18479,44:28.1
63,39,1,20250328,Quarterly,13660,44:28.1
64,39,1,20250328,Monthly,11465,44:28.1
65,39,1,20250328,Quarterly,7631,44:28.1
66,39,1,20250328,Monthly,17321,44:28.1
67,39,1,20250328,Quarterly,9420,44:28.1
68,39,1,20250328,Monthly,18524,44:28.1
69,39,1,20250328,Quarterly,7770,44:28.1
70,39,1,20250328,Monthly,23386,44:28.1
71,39,1,20250328,Quarterly,17680,44:28.1
72,39,1,20250328,Monthly,16762,44:28.1
73,39,1,20250328,Quarterly,19281,44:28.1
74,39,1,20250328,Monthly,7284,44:28.1
75,39,1,20250328,Quarterly,24771,44:28.1
76,39,1,20250328,Monthly,18789,44:28.1
77,39,1,20250328,Quarterly,16734,44:28.1
78,39,1,20250328,Monthly,24483,44:28.1
79,39,1,20250328,Quarterly,13987,44:28.1
80,39,1,20250328,Monthly,22015,44:28.1
81,39,1,20250328,Quarterly,15184,44:28.1
82,39,1,20250328,Monthly,5018,44:28.1
83,39,1,20250328,Quarterly,13941,44:28.1
84,39,1,20250328,Monthly,8470,44:28.1
85,39,1,20250328,Quarterly,22554,44:28.1
86,39,1,20250328,Monthly,16959,44:28.1
87,39,1,20250328,Quarterly,22475,44:28.1
88,39,1,20250328,Monthly,13959,44:28.1
89,39,1,20250328,Quarterly,18487,44:28.1
90,39,1,20250328,Monthly,24962,44:28.1
91,39,1,20250328,Quarterly,14315,44:28.1
92,39,1,20250328,Monthly,16160,44:28.1
93,39,1,20250328,Quarterly,13130,44:28.1
94,39,1,20250328,Monthly,18810,44:28.1
95,39,1,20250328,Quarterly,8786,44:28.1
96,39,1,20250328,Monthly,19232,44:28.1
97,39,1,20250328,Quarterly,15499,44:28.1
98,39,1,20250328,Monthly,15764,44:28.1
99,39,1,20250328,Quarterly,6067,44:28.1
100,39,1,20250328,Monthly,12413,44:28.1
101,39,1,20250328,Quarterly,12157,44:28.1
102,39,1,20250328,Monthly,8334,44:28.1
103,39,1,20250328,Quarterly,7092,44:28.1
104,39,1,20250328,Monthly,15909,44:28.1
105,39,1,20250328,Quarterly,12154,44:28.1
106,39,1,20250328,Monthly,10160,44:28.1
107,39,1,20250328,Quarterly,5429,44:28.1
108,39,1,20250328,Monthly,19205,44:28.1
109,39,1,20250328,Quarterly,21371,44:28.1
110,39,1,20250328,Monthly,8173,44:28.1
111,39,1,20250328,Quarterly,13217,44:28.1
112,39,1,20250328,Monthly,20843,44:28.1
113,39,1,20250328,Quarterly,7228,44:28.1
114,39,1,20250328,Monthly,7467,44:28.1
115,39,1,20250328,Quarterly,20051,44:28.1
116,39,1,20250328,Monthly,12150,44:28.1
117,39,1,20250328,Quarterly,19915,44:28.1
118,39,1,20250328,Monthly,17812,44:28.1
119,39,1,20250328,Quarterly,16286,44:28.1
120,39,1,20250328,Monthly,10680,44:28.1
121,39,1,20250328,Quarterly,9288,44:28.1
122,39,1,20250328,Monthly,15134,44:28.1
123,39,1,20250328,Quarterly,5323,44:28.1
124,39,1,20250328,Monthly,21408,44:28.1
125,39,1,20250328,Quarterly,11619,44:28.1
126,39,1,20250328,Monthly,11121,44:28.1
127,39,1,20250328,Quarterly,11572,44:28.1
128,39,1,20250328,Monthly,23135,44:28.1
129,39,1,20250328,Quarterly,15770,44:28.1
130,39,1,20250328,Monthly,22002,44:28.1
131,39,1,20250328,Quarterly,6196,44:28.1
132,39,1,20250328,Monthly,14257,44:28.1
133,39,1,20250328,Quarterly,17060,44:28.1
134,39,1,20250328,Monthly,5054,44:28.1
135,39,1,20250328,Quarterly,13221,44:28.1
136,39,1,20250328,Monthly,16021,44:28.1
137,39,1,20250328,Quarterly,6471,44:28.1
138,39,1,20250328,Monthly,7824,44:28.1
139,39,1,20250328,Quarterly,8780,44:28.1
140,39,1,20250328,Monthly,10535,44:28.1
141,39,1,20250328,Quarterly,12688,44:28.1
142,39,1,20250328,Monthly,5918,44:28.1
143,39,1,20250328,Quarterly,24196,44:28.1
144,39,1,20250328,Monthly,12547,44:28.1
145,39,1,20250328,Quarterly,17809,44:28.1
146,39,1,20250328,Monthly,8515,44:28.1
147,39,1,20250328,Quarterly,14339,44:28.1
148,39,1,20250328,Monthly,21340,44:28.1
149,39,1,20250328,Quarterly,19215,44:28.1
150,39,1,20250328,Monthly,23391,44:28.1
151,39,1,20250328,Quarterly,5126,44:28.1
152,39,1,20250328,Monthly,23939,44:28.1
153,39,1,20250328,Quarterly,17271,44:28.1
154,39,1,20250328,Monthly,6617,44:28.1
155,39,1,20250328,Quarterly,13552,44:28.1
156,39,1,20250328,Monthly,19693,44:28.1
157,39,1,20250328,Quarterly,5478,44:28.1
158,39,1,20250328,Monthly,18248,44:28.1
159,39,1,20250328,Quarterly,14118,44:28.1
160,39,1,20250328,Monthly,5849,44:28.1
161,39,1,20250328,Quarterly,9056,44:28.1
162,39,1,20250328,Monthly,22816,44:28.1
163,39,1,20250328,Quarterly,23979,44:28.1
164,39,1,20250328,Monthly,14750,44:28.1
165,39,1,20250328,Quarterly,21811,44:28.1
166,39,1,20250328,Monthly,18293,44:28.1
167,39,1,20250328,Quarterly,17301,44:28.1
168,39,1,20250328,Monthly,5774,44:28.1
169,39,1,20250328,Quarterly,19753,44:28.1
170,39,1,20250328,Monthly,6514,44:28.1
171,39,1,20250328,Quarterly,15444,44:28.1
172,39,1,20250328,Monthly,10640,44:28.1
173,39,1,20250328,Quarterly,14740,44:28.1
174,39,1,20250328,Monthly,6888,44:28.1
175,39,1,20250328,Quarterly,11751,44:28.1
176,39,1,20250328,Monthly,24810,44:28.1
177,39,1,20250328,Quarterly,7340,44:28.1
178,39,1,20250328,Monthly,20189,44:28.1
179,39,1,20250328,Quarterly,12533,44:28.1
180,39,1,20250328,Monthly,13060,44:28.1
181,39,1,20250328,Quarterly,24476,44:28.1
182,39,1,20250328,Monthly,13712,44:28.1
183,39,1,20250328,Quarterly,6376,44:28.1
184,39,1,20250328,Monthly,12012,44:28.1
185,39,1,20250328,Quarterly,10739,44:28.1
186,39,1,20250328,Monthly,8343,44:28.1
187,39,1,20250328,Quarterly,12262,44:28.1
188,39,1,20250328,Monthly,8975,44:28.1
189,39,1,20250328,Quarterly,24405,44:28.1
190,39,1,20250328,Monthly,11087,44:28.1
191,39,1,20250328,Quarterly,21966,44:28.1
192,39,1,20250328,Monthly,5154,44:28.1
193,39,1,20250328,Quarterly,8939,44:28.1
194,39,1,20250328,Monthly,9147,44:28.1
195,39,1,20250328,Quarterly,15575,44:28.1
196,39,1,20250328,Monthly,5392,44:28.1
197,39,1,20250328,Quarterly,21981,44:28.1
198,39,1,20250328,Monthly,6513,44:28.1
199,39,1,20250328,Quarterly,23304,44:28.1
200,39,1,20250328,Monthly,22798,44:28.1
201,39,1,20250328,Quarterly,13130,44:28.1
202,39,1,20250328,Monthly,14230,44:28.1
203,39,1,20250328,Quarterly,18079,44:28.1
204,39,1,20250328,Monthly,12633,44:28.1
205,39,1,20250328,Quarterly,13285,44:28.1
206,39,1,20250328,Monthly,16497,44:28.1
207,39,1,20250328,Quarterly,13884,44:28.1
208,39,1,20250328,Monthly,24856,44:28.1
