order_id,order_number,customer_id,sales_rep_id,order_date_id,shipping_date_id,region_id,order_status,payment_terms,currency_code,gross_total,discount_total,net_total,created_at
1,ORD1001,328,8,20240717,20240720,1,Pending,Due on Receipt,USD,1193.73,368.24,825.49,2024-07-17 18:47:57
2,ORD1002,17,2,20240323,20240326,1,Cancelled,Net 30,USD,2576.24,13.27,2562.97,2024-03-23 11:45:41
3,ORD1003,302,18,20231123,20231204,1,Pending,Net 30,USD,2170.81,138.94,2031.87,2023-11-23 11:48:21
4,ORD1004,50,23,20240625,20240707,3,Pending,Due on Receipt,USD,312.91,143.76,169.15,2024-06-25 09:59:24
5,ORD1005,425,41,20240129,20240209,3,Shipped,Net 30,USD,440.82,291.50,149.32,2024-01-29 12:05:54
6,ORD1006,143,30,20231130,20231205,3,Shipped,Due on Receipt,GBP,1840.83,335.09,1505.74,2023-11-30 18:41:04
7,ORD1007,126,11,20250216,20250220,4,Delivered,Net 30,EUR,4948.66,320.00,4628.66,2025-02-16 16:14:43
8,ORD1008,421,3,20250401,20250405,3,Delivered,Net 30,GBP,424.32,387.46,36.86,2025-04-01 17:56:45
9,ORD1009,256,26,20231020,20231024,4,Cancelled,Due on Receipt,USD,784.19,372.49,411.70,2023-10-20 16:16:47
10,ORD1010,186,15,20251109,20251116,2,Shipped,Due on Receipt,USD,545.46,23.56,521.90,2025-11-09 09:09:40
11,ORD1011,306,5,20250220,20250301,4,Pending,Due on Receipt,GBP,4980.99,264.56,4716.43,2025-02-20 16:55:00
12,ORD1012,385,18,20230817,20230821,3,Shipped,Due on Receipt,EUR,2230.35,226.86,2003.49,2023-08-17 12:32:48
13,ORD1013,446,41,20251105,20251114,3,Pending,Due on Receipt,USD,1074.66,186.96,887.70,2025-11-05 10:34:49
14,ORD1014,251,2,20250113,20250127,1,Pending,Net 30,GBP,4928.07,403.39,4524.68,2025-01-13 11:03:15
15,ORD1015,249,5,20230920,20230930,2,Cancelled,Net 30,GBP,2428.88,274.90,2153.98,2023-09-20 12:33:55
16,ORD1016,387,47,20240930,20241006,2,Cancelled,Net 30,EUR,4976.23,324.94,4651.29,2024-09-30 15:57:33
17,ORD1017,116,5,20230213,20230222,3,Pending,Net 30,EUR,2814.22,294.22,2520.00,2023-02-13 08:04:45
18,ORD1018,464,3,20230526,20230603,3,Cancelled,Net 30,USD,1266.22,334.49,931.73,2023-05-26 11:34:08
19,ORD1019,414,27,20230713,20230714,2,Pending,Due on Receipt,GBP,3329.02,177.15,3151.87,2023-07-13 14:29:55
20,ORD1020,331,7,20250404,20250415,1,Cancelled,Net 30,USD,1762.58,430.84,1331.74,2025-04-04 11:12:12
21,ORD1021,94,18,20240526,20240608,4,Pending,Net 30,EUR,4624.00,221.57,4402.43,2024-05-26 16:06:03
22,ORD1022,86,27,20250912,20250915,4,Cancelled,Net 60,USD,4336.79,451.22,3885.57,2025-09-12 10:24:00
23,ORD1023,147,28,20231114,20231117,4,Pending,Due on Receipt,USD,1553.87,484.35,1069.52,2023-11-14 17:47:34
24,ORD1024,30,4,20251026,20251109,4,Shipped,Net 30,GBP,4278.33,78.72,4199.61,2025-10-26 16:05:54
25,ORD1025,35,44,20250406,20250407,2,Pending,Net 60,GBP,4713.82,284.84,4428.98,2025-04-06 17:38:02
26,ORD1026,299,37,20240618,20240621,3,Delivered,Net 60,USD,3381.66,157.09,3224.57,2024-06-18 12:25:08
27,ORD1027,476,49,20230120,20230127,1,Shipped,Due on Receipt,USD,3143.68,281.50,2862.18,2023-01-20 09:04:34
28,ORD1028,68,23,20240515,20240520,1,Pending,Due on Receipt,GBP,1496.44,219.09,1277.35,2024-05-15 16:45:19
29,ORD1029,154,43,20231003,20231007,1,Delivered,Due on Receipt,EUR,665.60,53.52,612.08,2023-10-03 16:09:17
30,ORD1030,368,22,20240624,20240702,2,Cancelled,Net 60,EUR,2493.81,452.67,2041.14,2024-06-24 08:05:40
31,ORD1031,2,22,20240620,20240622,2,Pending,Net 30,GBP,3732.03,275.84,3456.19,2024-06-20 14:35:00
32,ORD1032,463,10,20250126,20250204,1,Pending,Net 60,EUR,2807.37,214.89,2592.48,2025-01-26 08:19:23
33,ORD1033,350,16,20241225,20250106,1,Shipped,Net 30,EUR,2843.43,437.36,2406.07,2024-12-25 17:47:09
34,ORD1034,452,27,20240103,20240114,1,Shipped,Net 60,EUR,4629.99,391.19,4238.80,2024-01-03 14:51:42
35,ORD1035,404,45,20250222,20250307,1,Cancelled,Net 60,USD,289.75,136.38,153.37,2025-02-22 11:52:58
36,ORD1036,421,15,20230218,20230228,2,Delivered,Due on Receipt,GBP,1046.34,164.13,882.21,2023-02-18 09:49:17
37,ORD1037,205,44,20230226,20230227,3,Pending,Due on Receipt,USD,4397.49,130.61,4266.88,2023-02-26 17:16:02
38,ORD1038,177,47,20250612,20250621,3,Pending,Due on Receipt,USD,4922.76,57.82,4864.94,2025-06-12 17:12:16
39,ORD1039,1,34,20250115,20250121,2,Pending,Due on Receipt,USD,442.87,294.17,148.70,2025-01-15 13:39:20
40,ORD1040,260,20,20241030,20241105,4,Cancelled,Due on Receipt,GBP,3516.32,277.21,3239.11,2024-10-30 11:26:42
