assignment_id,sales_rep_id,customer_id,start_date_id,end_date_id,is_primary_rep,created_at
1,17,258,20240927,20251120,0,45:48.3
2,17,258,20240927,20251120,1,45:48.3
3,17,258,20240927,20251120,0,45:48.3
4,17,258,20240927,20251120,1,45:48.3
5,17,258,20240927,20251120,0,45:48.3
6,17,258,20240927,20251120,1,45:48.3
7,17,258,20240927,20251120,0,45:48.3
8,17,258,20240927,20251120,1,45:48.3
9,17,258,20240927,20251120,0,45:48.3
10,17,258,20240927,20251120,1,45:48.3
11,17,258,20240927,20251120,0,45:48.3
12,17,258,20240927,20251120,1,45:48.3
13,17,258,20240927,20251120,0,45:48.3
14,17,258,20240927,20251120,1,45:48.3
15,17,258,20240927,20251120,0,45:48.3
16,17,258,20240927,20251120,1,45:48.3
17,17,258,20240927,20251120,0,45:48.3
18,17,258,20240927,20251120,1,45:48.3
19,17,258,20240927,20251120,0,45:48.3
20,17,258,20240927,20251120,1,45:48.3
21,17,258,20240927,20251120,0,45:48.3
22,17,258,20240927,20251120,1,45:48.3
23,17,258,20240927,20251120,0,45:48.3
24,17,258,20240927,20251120,1,45:48.3
25,17,258,20240927,20251120,0,45:48.3
26,17,258,20240927,20251120,1,45:48.3
27,17,258,20240927,20251120,0,45:48.3
28,17,258,20240927,20251120,1,45:48.3
29,17,258,20240927,20251120,0,45:48.3
30,17,258,20240927,20251120,1,45:48.3
31,17,258,20240927,20251120,0,45:48.3
32,17,258,20240927,20251120,1,45:48.3
33,17,258,20240927,20251120,0,45:48.3
34,17,258,20240927,20251120,1,45:48.3
35,17,258,20240927,20251120,0,45:48.3
36,17,258,20240927,20251120,1,45:48.3
37,17,258,20240927,20251120,0,45:48.3
38,17,258,20240927,20251120,1,45:48.3
39,17,258,20240927,20251120,0,45:48.3
40,17,258,20240927,20251120,1,45:48.3
41,17,258,20240927,20251120,0,45:48.3
42,17,258,20240927,20251120,1,45:48.3
43,17,258,20240927,20251120,0,45:48.3
44,17,258,20240927,20251120,1,45:48.3
45,17,258,20240927,20251120,0,45:48.3
46,17,258,20240927,20251120,1,45:48.3
47,17,258,20240927,20251120,0,45:48.3
48,17,258,20240927,20251120,1,45:48.3
49,17,258,20240927,20251120,0,45:48.3
50,17,258,20240927,20251120,1,45:48.3
51,17,258,20240927,20251120,0,45:48.3
52,17,258,20240927,20251120,1,45:48.3
53,17,258,20240927,20251120,0,45:48.3
54,17,258,20240927,20251120,1,45:48.3
55,17,258,20240927,20251120,0,45:48.3
56,17,258,20240927,20251120,1,45:48.3
57,17,258,20240927,20251120,0,45:48.3
58,17,258,20240927,20251120,1,45:48.3
59,17,258,20240927,20251120,0,45:48.3
60,17,258,20240927,20251120,1,45:48.3
61,17,258,20240927,20251120,0,45:48.3
62,17,258,20240927,20251120,1,45:48.3
63,17,258,20240927,20251120,0,45:48.3
64,17,258,20240927,20251120,1,45:48.3
65,17,258,20240927,20251120,0,45:48.3
66,17,258,20240927,20251120,1,45:48.3
67,17,258,20240927,20251120,0,45:48.3
68,17,258,20240927,20251120,1,45:48.3
69,17,258,20240927,20251120,0,45:48.3
70,17,258,20240927,20251120,1,45:48.3
71,17,258,20240927,20251120,0,45:48.3
72,17,258,20240927,20251120,1,45:48.3
73,17,258,20240927,20251120,0,45:48.3
74,17,258,20240927,20251120,1,45:48.3
75,17,258,20240927,20251120,0,45:48.3
76,17,258,20240927,20251120,1,45:48.3
77,17,258,20240927,20251120,0,45:48.3
78,17,258,20240927,20251120,1,45:48.3
79,17,258,20240927,20251120,0,45:48.3
80,17,258,20240927,20251120,1,45:48.3
81,17,258,20240927,20251120,0,45:48.3
82,17,258,20240927,20251120,1,45:48.3
83,17,258,20240927,20251120,0,45:48.3
84,17,258,20240927,20251120,1,45:48.3
85,17,258,20240927,20251120,0,45:48.3
86,17,258,20240927,20251120,1,45:48.3
87,17,258,20240927,20251120,0,45:48.3
88,17,258,20240927,20251120,1,45:48.3
89,17,258,20240927,20251120,0,45:48.3
90,17,258,20240927,20251120,1,45:48.3
91,17,258,20240927,20251120,0,45:48.3
92,17,258,20240927,20251120,1,45:48.3
93,17,258,20240927,20251120,0,45:48.3
94,17,258,20240927,20251120,1,45:48.3
95,17,258,20240927,20251120,0,45:48.3
96,17,258,20240927,20251120,1,45:48.3
97,17,258,20240927,20251120,0,45:48.3
98,17,258,20240927,20251120,1,45:48.3
99,17,258,20240927,20251120,0,45:48.3
100,17,258,20240927,20251120,1,45:48.3
101,17,258,20240927,20251120,0,45:48.3
102,17,258,20240927,20251120,1,45:48.3
103,17,258,20240927,20251120,0,45:48.3
104,17,258,20240927,20251120,1,45:48.3
105,17,258,20240927,20251120,0,45:48.3
106,17,258,20240927,20251120,1,45:48.3
107,17,258,20240927,20251120,0,45:48.3
108,17,258,20240927,20251120,1,45:48.3
109,17,258,20240927,20251120,0,45:48.3
110,17,258,20240927,20251120,1,45:48.3
111,17,258,20240927,20251120,0,45:48.3
112,17,258,20240927,20251120,1,45:48.3
113,17,258,20240927,20251120,0,45:48.3
114,17,258,20240927,20251120,1,45:48.3
115,17,258,20240927,20251120,0,45:48.3
116,17,258,20240927,20251120,1,45:48.3
117,17,258,20240927,20251120,0,45:48.3
118,17,258,20240927,20251120,1,45:48.3
119,17,258,20240927,20251120,0,45:48.3
120,17,258,20240927,20251120,1,45:48.3
121,17,258,20240927,20251120,0,45:48.3
122,17,258,20240927,20251120,1,45:48.3
123,17,258,20240927,20251120,0,45:48.3
124,17,258,20240927,20251120,1,45:48.3
125,17,258,20240927,20251120,0,45:48.3
126,17,258,20240927,20251120,1,45:48.3
127,17,258,20240927,20251120,0,45:48.3
128,17,258,20240927,20251120,1,45:48.3
129,17,258,20240927,20251120,0,45:48.3
130,17,258,20240927,20251120,1,45:48.3
131,17,258,20240927,20251120,0,45:48.3
132,17,258,20240927,20251120,1,45:48.3
133,17,258,20240927,20251120,0,45:48.3
134,17,258,20240927,20251120,1,45:48.3
135,17,258,20240927,20251120,0,45:48.3
136,17,258,20240927,20251120,1,45:48.3
137,17,258,20240927,20251120,0,45:48.3
138,17,258,20240927,20251120,1,45:48.3
139,17,258,20240927,20251120,0,45:48.3
